Institution / Repository,URL,Type,Total datasets in repository as of 6/26/2017,Resource type searched,agriculture,agriculture percent,Agricultural Research Service,Agricultural Research Service percent,natural resources conservation service,NRCS percent,forestry,forestry percent,aquaculture,aquaculture percent,agronomy,agronomy percent,soil science,soil science percent,Notes,Significant source of ag data,Search term greater than 1 percent of collection,Over 100 data search returns,Both 1 percent of collection AND over 100 returns,Search term greater than 5 percent of collection,Over 500 data search returns,Both 5 percent of collection AND over 500 returns
4TU.Centre for Research Data,http://data.4tu.nl/,non-federal,8066,data,12,0.148772626,0,0,0,0,0,0,0,0,0,0,0,0,,N,N,N,N,N,N,N
AEKOS - TERN Ecoinformatics,http://www.aekos.org.au/,non-federal,1278,all (data),12,0.938967136,28,2.190923318,37,2.89514867,10,0.782472614,0,0,0,0,36,2.816901408,Repository used by several journals for data desposit,Y,Y,N,N,N,N,N
ArrayExpress,http://www.ebi.ac.uk/arrayexpress/,non-federal,70169,experiments,82,0.116860722,1,0.001425131,0,0,5,0.007125654,45,0.064130884,2,0.002850262,0,0,Repository used by several journals for data desposit,N,N,N,N,N,N,N
Assembly (NCBI),https://www.ncbi.nlm.nih.gov/assembly/,federal,114888,all (data),398,0.346424344,3,0.002611239,0,0,91,0.079207576,10,0.008704129,2,0.001740826,7,0.00609289,"The Assembly resource provides access to genome assemblies for both submitted data and NCBI RefSeq assemblies. Assembly provides versioned accession identifiers for submitted and RefSeq assemblies, links to the components in the Nucleotide system and direct access to the downloads on the NCBI FTP site.",Y,N,Y,N,N,N,N
"ASTM (formerly, American Society for Testing and Materials)",https://www.astm.org/Standard/index.html,non-federal,12000,Products & Services,2552,21.26666667,121,1.008333333,30,0.25,452,3.766666667,15,0.125,331,2.758333333,579,4.825,"More than 12,000+ ASTM standards are used worldwide to improve product quality, enhance safety and facilitate trade. You can purchase individual standards; a volume that groups like standards together; a section that's comprised of several volumes covering an industry segment; or the entire collection. Print and online subscriptions are available.",Y,Y,Y,Y,Y,Y,Y
Atmospheric Radiation Measurement (ARM) Data Archive,https://www.arm.gov/data,federal,"37,705",measurements,61,0.161782257,0,0,0,0,0,0,0,0,0,0,0,0,Repository used by several journals for data desposit,N,N,N,N,N,N,N
Austrailian National Data Services,http://www.ands.org.au/,non-federal,132293,research data,2860,2.161867975,0,0,0,0,412,0.311429932,543,0.410452556,2,0.001511796,15,0.011338468,,Y,Y,Y,Y,N,Y,N
Australian Antarctic Data Centre (AADC),https://data.aad.gov.au/,non-federal,2654,datasets,1,0.037678975,0,0,0,0,0,0,1,0.037678975,0,0,0,0,,N,N,N,N,N,N,N
BioCollections (NCBI),https://www.ncbi.nlm.nih.gov/biocollections/,federal,7228,all (data),119,1.646375208,0,0,0,0,118,1.632540122,1,0.013835086,2,0.027670172,0,0,The National Center for Biotechnology Information - results searching https://www.ncbi.nlm.nih.gov/gquery. https://www.ncbi.nlm.nih.gov/books/NBK3837/ describes all the databases in NCBI.,Y,Y,Y,Y,N,N,N
BioProject (NCBI),https://www.ncbi.nlm.nih.gov/bioproject/,federal,236777,all (data),"2,097",0.885643454,11,0.004645722,3,0.001267015,769,0.324778167,383,0.161755576,56,0.023650946,4,0.001689353,"The BioProject database is a searcheable collection of complete and incomplete (in-progress) large-scale molecular projects including genome sequencing and assembly, transcriptome, metagenomic, annotation, expression and mapping projects. BioProject provides a central point to link to all data associated with a project in the NCBI molecular and literature databases.",Y,N,Y,N,N,Y,N
BioSample (NCBI),https://www.ncbi.nlm.nih.gov/biosample,federal,6613281,all (data),"12,839",0.194139641,39,0.000589722,0,0,"3,434",0.051925814,"1,414",0.021381218,"1,131",0.01710195,9,0.00013609,"BioSample contains descriptions of biological source materials used in studies that have data in other NCBI molecular databases such as Assembly, Nucleotide and SRA.",Y,N,Y,N,N,Y,N
BioSystems (NCBI),https://www.ncbi.nlm.nih.gov/biosystems/,federal,983968,all (data),"2,838",0.288424014,0,0,0,0,1,0.000101629,1,0.000101629,0,0,0,0,"The BioSystems database collects information on interacting sets of biomolecules involved in metabolic and signaling pathways, disease states, and other biological processes. BioSystems currently contains biological pathways from the Kyoto Encyclopedia of Genes and Genomes (KEGG) and the EcoCyc (Escherichia coli K-12 MG1655) subset of the BioCyc databases and is designed to accommodate other data in the future. BioSystems records link to related literature, genes, protein sequences, structures, chemical data, to related BioSystems. When available each record links to detailed diagrams and annotations for individual pathways on the Web sites of the source databases.",Y,N,Y,N,N,Y,N
Carbon Dioxide Information Analysis Center (CDIAC),http://cdiac.ornl.gov/,federal,2424,datasets,18,0.742574257,1,0.041254125,0,0,9,0.371287129,27,1.113861386,2,0.082508251,3,0.123762376,Repository used by several journals for data desposit,Y,Y,N,N,N,N,N
Climate.gov,https://www.climate.gov/maps-data/,federal,46,datasets,2,4.347826087,0,0,1,2.173913043,0,0,0,0,0,0,0,0,,Y,Y,N,N,N,N,N
ClinVar (NCBI),https://www.ncbi.nlm.nih.gov/clinvar/,federal,319645,all (data),1,0.000312847,0,0,0,0,0,0,0,0,0,0,0,0,"ClinVar is a public archive of submitted reports of clinically relevant human genetic variants and their relationships to phenotypes, with supporting evidence. ClinVar provides standardized nomenclature for variants and phenotypes, a review status for variants, and links to related NCBI literature and molecular databases.",N,N,N,N,N,N,N
Clone (NCBI),https://www.ncbi.nlm.nih.gov/clone/,federal,38325015,all (data),0,0,0,0,0,0,0,0,0,0,0,0,0,0,The National Center for Biotechnology Information - results searching https://www.ncbi.nlm.nih.gov/gquery. https://www.ncbi.nlm.nih.gov/books/NBK3837/ describes all the databases in NCBI.,N,N,N,N,N,N,N
Cold and Arid Regions Science Data Center (CARD),http://card.westgis.ac.cn/,non-federal,446,dataset,30,6.726457399,0,0,0,0,0,0,0,0,0,0,0,0,"World Data System for Cold and Arid Regions(CARD) is a new scientific data sharing system which is established on the basis of the former World Data Center for Glaciology and Geocryology, Lanzhou and other data centers hosted by Cold and Arid Regions Environmental and Engineering Research Institute, Chinese Academy of Sciences. World Data System for Cold and Arid Regions is one of the constituents of World Data System. The data sharing system's main goals are to collect, manage and store the scientific data of Cold and Arid Regions area in China and provide the services for the scientific research of Cold and Arid Regions.",Y,Y,N,N,Y,N,N
Colorado State University Digital Collections,http://lib.colostate.edu/digital-collections/,university,"60,000",images,955,1.591666667,1,0.001666667,0,0,107,0.178333333,0,0,287,0.478333333,7,1.17E-02,"Over 60,000 items in repo. Has nearly 1000 ag related digitized historic / early 20th century glass plate images among other items relating to the school of agriculture (see http://lib.colostate.edu/agrural/); other searches return different types of materials like audio-visuals in addition to images, but no choice to search by data",Y,Y,Y,Y,N,Y,N
Conserved Domains (NCBI),https://www.ncbi.nlm.nih.gov/cdd/,federal,56066,all (data),1,0.001783612,0,0,0,0,0,0,2,0.003567224,0,0,0,0,"Conserved Domains is a database of protein domains represented by sequence alignments and profiles for protein domains conserved in molecular evolution. It also includes alignments of the domains to known three-dimensional protein structures in the MMDB database. The source databases for Conserved Domains are Pfam, Smart, and COG.",N,N,N,N,N,N,N
CSIRO,https://data.csiro.au/dap/browse,non-federal,?,n/a,246,?,0,?,0,?,4,?,1,?,0,?,64,?,,Y,N,Y,N,N,N,N
Cyverse,http://datacommons.cyverse.org/,undetermined,?,n/a,?,?,?,?,?,?,?,?,?,?,?,?,?,?,No way to search data - presented in file directories - was iPlant,N,N,N,N,N,N,N
DANS / NARCIS,https://dans.knaw.nl/en/,foreign,167524,datasets,153,0.091330197,0,0,3,0.001790788,8,0.004775435,0,0,5,0.002984647,46,0.027458752,The gateway to scholarly information in the Netherlands,Y,N,Y,N,N,N,N
Data Archiving and Networking Services (DANS),https://easy.dans.knaw.nl,non-federal,38306,datasets,65,0.169686211,0,0,0,0,7,0.0182739,0,0,4,0.010442228,1,0.002610557,Repository used by several journals for data desposit,N,N,N,N,N,N,N
Data in Brief (Elsevier / Science Direct),http://www.sciencedirect.com/,non-federal,1000,data article,56,5.6,0,0,1,0.1,10,1,5,0.5,9,0.9,2,0.2,Over 1000 data articles,Y,Y,N,N,Y,N,N
data.gov,https://catalog.data.gov/,federal,197757,datasets,4400,2.224952846,78,0.039442346,288,0.145633277,241,0.121866735,157,0.079390363,7,0.003539698,18,0.00910208,,Y,Y,Y,N,N,Y,N
DataCenterHub,https://datacenterhub.org/,non-federal,"6,860",data,2,2.92E-02,0,0,0,0,0,0,0,0,65,0.947521866,0,0,,N,N,N,N,N,N,N
DataONE,https://www.dataone.org/data,non-federal,"331,279",data,19282,5.820471566,"15,536",4.689702637,364,0.109877173,1204,0.36343988,150,0.045279055,39,0.011772554,187,0.056447888,"Is itself only a catalog to data held elsewhere, includes Dryad and KNB among others",Y,Y,Y,Y,Y,Y,Y
Dataverse (overall),https://dataverse.org/metrics,non-federal,?,n/a,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Metrics say Agricultural Sciences 4.3%,N,N,N,N,N,N,N
Dataverse (Scholars Portal),https://dataverse.scholarsportal.info/dataverse/sp,non-federal,1051,datasets / dataverses,107,10.18078021,0,0,0,0,18,1.712654615,3,0.285442436,2,0.190294957,6,0.570884872,,Y,Y,Y,N,Y,N,N
dbGaP (NCBI),https://www.ncbi.nlm.nih.gov/gap/,federal,5314,datasets,9,0.169363944,5,0.09409108,0,0,0,0,0,0,0,0,0,0,"dbGaP (Database of Genotypes and Phenotypes) provides the results of studies that have investigated the interaction of genotype and phenotype including genome-wide association studies, medical sequencing, molecular diagnostic assays, as well as association between genotype and non-clinical traits.",N,N,N,N,N,N,N
dbVar (NCBI),https://www.ncbi.nlm.nih.gov/dbvar/,federal,6524606,"variant, study",333,0.005103756,0,0,1,1.53E-05,0,0,0,0,0,0,"36,892",0.565428778,"dbVAR (Database of Genomic Structural Variation) contains information about large-scale genomic variation, including large insertions, deletions, translocations and inversions. dbVar also provides associations of defined variants with phenotype information.",Y,N,Y,N,N,Y,N
DNA Data Bank of Japan,http://www.ddbj.nig.ac.jp/index-e.html,foreign,?,all,2850,?,0,?,0,?,323,?,6,?,0,?,1,?,"Database is buggy, come up with different numbers for some of the totals. Also, they look like they are all data results but not 100% certain",Y,N,Y,N,N,Y,N
Dryad,http://www.datadryad.org/,non-federal,"17,542",dryad data package,498,2.838900923,0,0,2,0.011401209,46,0.262227796,68,0.38764109,5,0.028503021,3,0.017101813,,Y,Y,Y,Y,N,N,N
Edinburgh DataShare,http://datashare.is.ed.ac.uk/,foreign,"2,261",data,34,1.503759398,0,0,0,0,0,0,0,0,0,0,1651,73.02078726,"Edinburgh DataShare is a digital repository of research data produced at the University of Edinburgh, hosted by Information Services. Edinburgh University researchers who have produced research data associated with an existing or forthcoming publication, or which has potential use for other researchers, are invited to upload their dataset for sharing and safekeeping. A persistent identifier and suggested citation will be provided.",Y,Y,Y,Y,Y,Y,Y
EST (NCBI),https://www.ncbi.nlm.nih.gov/nucest/,federal,76442503,all (data),"62,731",0.082062985,"5,427",0.007099454,0,0,"91,447",0.119628474,"144,509",0.189042737,399,0.000521961,"15,331",0.020055597,"The EST database contains sequence records from the bulk EST (Expressed Sequence Tag) division of GenBank. These are typically short single-pass reads from cDNA libraries often generated as large survey project. Data from EST can be used to catalog expressed genes for a particular organ, tissue or cell type or general for a species, and compare expression levels of genes in various library sources.",Y,N,Y,N,N,Y,N
European Union Open Data Portal,http://data.europa.eu/euodp/en/data/,non-federal,"10,773",datasets,361,3.350970018,0,0,0,0,173,1.605866518,15,0.139236981,0,0,1,0.009282465,,Y,Y,Y,Y,N,N,N
Figshare,https://figshare.com/,non-federal,?,dataset,320,?,196,?,49,?,343,?,360,?,324,?,296,?,"Does not provide totals unless you scroll to the end of the results and count manually (ugh!), so I am not sure how accurate this is and definitely will not be exact if anything changes and new datasets are added or removed. I also am not sure if it cuts off after a certain point or if these were all of the results. But these numbers should at least be close. Datasets counted on 6/16/2017

No way to count total datasets - you can go to the browse page and limit results to ""dataset"" without specifying search terms, but as with search terms there is no total count with too many to manually count. On the about page it lists over 500,000 collections and 5,000 projects. https://figshare.com/about",Y,?,Y,?,N,N,N
FlyBase,http://flybase.org/,non-federal,218669,references,300,0.137193658,2,0.000914624,0,0,10,0.004573122,3,0.001371937,1,0.000457312,0,0,A data base of Drosophila genes and genomes,Y,N,Y,N,N,N,N
Gene (NCBI),https://www.ncbi.nlm.nih.gov/gene/,federal,18300688,all (data),1,5.46E-06,3,1.64E-05,0,0,166,0.00090707,430,0.002349638,0,0,0,0,"Gene is a searchable database of genes, focusing on genomes that have been completely sequenced and that have an active research community to contribute gene-specific data. Information in Gene records includes nomenclature, chromosomal localization, gene products and their attributes (e.g., protein interactions), associated markers, phenotypes, interactions, and links to citations, sequences, variation details, maps, expression reports, homologs, protein domain content, and external databases.",Y,N,Y,N,N,N,N
Genome (NCBI),https://www.ncbi.nlm.nih.gov/genome,federal,24720,all (data),20,0.080906149,0,0,0,0,3,0.012135922,12,0.048543689,0,0,1,0.004045307,"The Genome database contains sequence and map data from the whole genomes of over 1000 species or strains. The genomes represent both completely sequenced genomes and those with sequencing in-progress. All three main domains of life (bacteria, archaea, and eukaryota) are represented, as well as many viruses, phages, viroids, plasmids, and organelles.",N,N,N,N,N,,N
GEO DataSets (NCBI),https://www.ncbi.nlm.nih.gov/gds/,federal,2217850,"DataSets, Series, Samples, Platforms","5,365",0.24190094,9,0.000405798,82,0.003697274,286,0.012895372,"1,004",0.045269067,20,0.000901774,1,4.51E-05,GEO Datasets stores curated gene expression and molecular abundance data sets assembled by NCBI from the Gene Expression Omnibus (GEO) repository of microarray data.,Y,N,Y,N,N,Y,N
GEO Profiles (NCBI),https://www.ncbi.nlm.nih.gov/geoprofiles/,federal,128414055,all (data),132,0.000102792,0,0,0,0,0,0,0,0,0,0,"68,430",0.053288559,GEO Profiles is a database that stores individual gene expression and molecular abundance profiles assembled from the Gene Expression Omnibus (GEO) repository of microarray data.,Y,N,Y,N,N,Y,N
GigaDB,http://gigadb.org/,non-federal,344,datasets,6,1.744186047,0,0,0,0,3,0.872093023,4,1.162790698,0,0,0,0,,Y,Y,N,N,N,N,N
Global Biodiversity Information Facility,http://www.gbif.org/,non-federal,35411,datasets,120,0.33887775,1334,3.767190986,3022,8.534071334,37,0.104487306,6,0.016943887,2,0.005647962,0,0,Has a higher concentration of ARS / NRCS data than the other repositories.,Y,Y,Y,Y,Y,Y,Y
GSS (NCBI),https://www.ncbi.nlm.nih.gov/nucgss/,federal,39952463,all (data),"508,932",1.273843868,0,0,0,0,"437,713",1.09558452,"240,336",0.601554903,"5,366",0.013430962,0,0,The GSS database contains sequence records from the bulk GSS (Genome Survey Sequence) division of GenBank. These are the genomic equivalent of EST records; short single pass reads from gDNA libraries. Insert end and other reads from BAC and other large insert genomic libraries used to identify and assemble candidates for genome sequencing are common examples of GSS records.,Y,Y,Y,Y,N,Y,N
GTR (NCBI),https://www.ncbi.nlm.nih.gov/gtr/,federal,51479,"tests (the ""genes"" category produced 0 results on all these terms)",0,0,"1,472",2.859418404,0,0,0,0,0,0,0,0,"2,074",4.028827289,"The Genetic Testing Registry (GTR) is a repository for voluntary submissions of genetic test information by providers. The scope of GTR includes the purpose of the test, methodology, validity, evidence of the usefulness of the test, and laboratory contacts and credentials. GTR includes information from and links to NCBI resources such as Gene, ClinVar and MedGen as well as many resources from outside the NIH. 51479 tests, 10753 conditions, 16233 genes, and 494 labs",Y,Y,Y,Y,N,Y,N
Harvard Dataverse,https://dataverse.harvard.edu/,university,76328,datasets,1805,2.364794047,5,0.006550676,5,0.006550676,212,0.277748664,8,0.010481082,13,0.017031758,16,0.020962163,,Y,Y,Y,Y,N,Y,N
HomoloGene (NCBI),https://www.ncbi.nlm.nih.gov/homologene/,federal,141268,all (data),0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The HomoloGene database contains automatically generated sets of homologous genes and their corresponding mRNA, genomic, and protein sequence data from selected eukaryotic organisms. Potential homologs from other organisms are included through sequence similarity to UniGene clusters.",N,N,N,N,N,N,N
MedGen (NCBI),https://www.ncbi.nlm.nih.gov/medgen/,federal,296857,all (data),3,0.001010588,0,0,0,0,0,0,0,0,0,0,0,0,"MedGen is NCBI’s portal to information about human disorders and other phenotypes having a genetic component. MedGen is intended for health care professionals, the medical genetics community and provides centralized access to diverse types of content. MedGen aggregates the wide variety of terms used for particular disorders into a specific concept. Each concept may have associated clinical findings, causative genetic variants and the genes in which they occur, available clinical and research tests, molecular resources, professional guidelines, original and review literature, consumer resources, clinical trials, and links to other related NCBI molecular and literature databases as well as non-NCBI resources.",N,N,N,N,N,N,N
Mendelay Data,https://data.mendeley.com/datasets,non-federal,?,datasets,?,?,?,?,?,?,?,?,?,?,?,?,?,?,"No way to search all the datasets for included text, only searchable by title - so if the term is not in the title it won't show up",N,N,N,N,N,N,N
NASA Goddard Earth Sciences Data and Information Services Center,https://disc.gsfc.nasa.gov/,federal,1029,data collections,186,18.07580175,0,0,0,0,184,17.88143829,0,0,0,0,65,6.316812439,,Y,Y,Y,Y,Y,N,N
Northwest Knowledge Network,https://www.northwestknowledge.net/,university,504,data,53,10.51587302,1,0.198412698,15,2.976190476,10,1.984126984,12,2.380952381,0,0,0,0,,Y,Y,N,N,Y,N,N
Nucleotide (NCBI),https://www.ncbi.nlm.nih.gov/nuccore,federal,238897405,all (data),"4,629,739",1.937961193,"54,938",0.022996483,0,0,"1,500,461",0.628077563,"1,452,850",0.608148088,"252,444",0.105670466,"44,670",0.018698403,"Apart from sequence data in the EST (Expressed Sequence Tag) and GSS (Genome Survey Sequence divisions of GenBank, the Nucleotide database contains all the sequence data from GenBank, EMBL, and DDBJ, the members of the International Nucleotide Sequence Databases Collaboration (INSDC). Nucleotide also includes NCBI-curated Reference Sequences (RefSeqs), submitted assemblies and annotations from the Third Party Annotation (TPA) database, and nucleotide sequences extracted from structure records from the Protein Databank (PDB).",Y,Y,Y,Y,N,Y,N
OMIM (NCBI),https://www.ncbi.nlm.nih.gov/omim/,federal,25188,all (data),5,0.019850723,0,0,0,0,0,0,0,0,0,0,0,0,"The OMIM (Online Mendelian Inheritance in Man) database allows searches of OMIM articles about human genes, genetic disorders, and other inherited traits. OMIM articles provide links to associated literature references, sequence records, maps, and related databases. OMIM records are hosted and served by the independent OMIM site (www.omim.org). The NCBI service provides searching capabilities.",N,N,N,N,N,N,N
Open Science Data Cloud,https://www.opensciencedatacloud.org/,undetermined,?,data,?,?,?,?,?,?,?,?,?,?,?,?,?,?,"The Open Science Data Cloud provides the scientific community with resources for storing, sharing, and analyzing terabyte and petabyte-scale scientific datasets. The OSDC is a data science ecosystem in which researchers can house and share their own scientific data, access complementary public datasets, build and share customized virtual machines with whatever tools necessary to analyze their data, and perform the analysis to answer their research questions. It is a one-stop shop for making scientific research faster and easier. - no way to search?",N,N,N,N,N,N,N
Open Science Framework,https://osf.io/ ,non-federal,15602,components,13,0.083322651,0,0,0,0,1,0.006409435,0,0,1,0.006409435,1,0.006409435,"Can separate by projects, files, components - or total. Not sure which ones will have data, but possibly components will be the best fit? Some of these have results in other categories that might include papers, however...

Searching ""*"" brings back 15602 components results. Not sure if that is accurate for how many total are in the repo or if that is what has been tagged with the word ""data"", so I did not run the % breakdown on these numbers. In any case, results would be negligible.",Y,N,N,N,N,N,N
ORNL DAAC - Distributed Active Archive Center for Biochemical Dynamics,https://daac.ornl.gov/,federal,1241,data,68,5.479452055,15,1.208702659,12,0.966962127,864,69.62127317,2,0.161160355,97,7.816277196,94,7.574536664,,Y,Y,Y,Y,Y,Y,Y
PANGAEA,https://www.pangaea.de,non-federal,364662,datasets,595,0.163164794,0,0,1,0.000274227,46,0.012614421,66,0.018098952,58,0.01590514,1187,0.325506908,,Y,N,Y,N,N,Y,N
PopSet (NCBI),https://www.ncbi.nlm.nih.gov/popset,federal,275862,all (data),"6,241",2.262363066,164,0.059450015,0,0,"3,239",1.174137794,870,0.315375079,656,0.23780006,124,0.044950011,"The PopSet database contains related nucleotide sequences that originate from comparative studies: phylogenetic, population, environmental (ecosystem), and mutational. Each record in the database is a set of nucleotide sequences representing the same molecule from the same species (population, mutation), different identifiable species (phylogenetic), or anonymous species from the same biological community (ecosystem).",Y,Y,Y,Y,N,Y,N
Probe (NCBI),https://www.ncbi.nlm.nih.gov/probe/,federal,32406124,all (data),1,3.09E-06,0,0,0,0,0,0,0,0,0,0,0,0,"Probe is a database of nucleic acid reagents designed for use in a wide variety of biomedical research applications including genotyping, gene expression studies, SNP discovery, genome mapping, and gene silencing. Probe records contain information on reagent distributors, probe effectiveness, and computed sequence similarities.",N,N,N,N,N,N,N
Protein (NCBI),https://www.ncbi.nlm.nih.gov/protein,federal,407452665,all (data),"4,398,352",1.079475575,"226,736",0.0556472,0,0,"454,340",0.111507431,"292,589",0.071809323,"198,328",0.048675102,"21,103",0.005179252,"The Protein database contains amino acid sequences created from the translations of coding regions provided on nucleotide records in GenBank, EMBL, and DDBJ, the members of the International Nucleotide Sequence Databases Collaboration (INSDC) as well as those from coding regions on NCBI Reference Sequences and the Third Party Annotation (TPA) database records. Protein records are also imported from the outside protein-only data sources Protein Information Resource (PIR), UniProtKB/Swiss-Prot, Protein Research Foundation (PRF). Protein sequences are also extracted from structure records from the Protein Data Bank (PDB).",Y,Y,Y,Y,N,Y,N
Protein Clusters (NCBI),https://www.ncbi.nlm.nih.gov/proteinclusters/,federal,820546,all (data),0,0,0,0,39,0.004752933,0,0,0,0,0,0,0,0,"Protein Clusters is a collection of related protein sequences (clusters) consisting of Reference Sequence proteins that are encoded by complete prokaryotic genomes as well those encoded eukaryotic organelle plasmids and genomes. The database provides easy access to annotation information, publications, domains, structures, external links, and analysis tools. Pulls from other databases like PDB, RefSeq, UniProtKB / Swiss-Prot, etc.",N,N,N,N,N,N,N
Protein Data Bank,http://www.rcsb.org/pdb/home/home.do,non-federal,131693,structures,33,0.025058279,0,0,0,0,20,0.015186836,1,0.000759342,0,0,0,0,"This resource is powered by the Protein Data Bank archive-information about the 3D shapes of proteins, nucleic acids, and complex assemblies that helps students and researchers understand all aspects of biomedicine and agriculture, from protein synthesis to health and disease. Also searchable are Citations, Ligands, News articles",N,N,N,N,N,N,N
PubChem BioAssay (NCBI),https://www.ncbi.nlm.nih.gov/pcassay,federal,1252796,all (data),207,0.016523041,0,0,0,0,0,0,24,0.001915715,0,0,1,7.98E-05,"PubChem BioAssay is a database that contains bioactivity screens of chemical substances described in PubChem Substance. It provides searchable descriptions of each bioassay, including descriptions of the conditions and readouts specific to that screening procedure.",Y,N,Y,N,N,N,N
PubChem Compound (NCBI),https://www.ncbi.nlm.nih.gov/pccompound/,federal,93551719,all (data),0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The PubChem Compound database contains unique, validated chemical structures (small molecules) that can be searched using names, synonyms or keywords. The compound records may link to more than one PubChem Substance record if different depositors supplied the same structure. Structures in PubChem Compounds are pre-clustered and cross-referenced by identity and similarity groups. Additionally, calculated properties and descriptors are available for searching and filtering of chemical structures. Compound records are linked to related PubChem Substance Records, PubMed citations, protein 3D structures, and biological screening results that are available in PubChem BioAssay.",N,N,N,N,N,N,N
PubChem Substance (NCBI),https://www.ncbi.nlm.nih.gov/pcsubstance/,federal,234641026,all (data),3,1.28E-06,1,4.26E-07,0,0,0,0,0,0,0,0,0,0,"The PubChem Substance database contains information on chemical substances including mixtures electronically submitted to PubChem by depositors. This includes any chemical structure information submitted, as well as chemical names, comments, and links to the depositor's web site.",N,N,N,N,N,N,N
PubMed Health (NCBI),https://www.ncbi.nlm.nih.gov/pubmedhealth,federal,66280,all (data),78,0.117682559,2,0.003017502,38,0.057332529,5,0.007543754,0,0,0,0,23,0.034701267,The National Center for Biotechnology Information - results searching https://www.ncbi.nlm.nih.gov/gquery. https://www.ncbi.nlm.nih.gov/books/NBK3837/ describes all the databases in NCBI.,N,N,N,N,N,N,N
Purdue University / PURR,https://purr.purdue.edu,university,666,datasets,141,21.17117117,0,0,0,0,0,0,0,0,11,1.651651652,133,19.96996997,"Can only search pre-made tags. They have ag data but some tags are not exact. Only PU faculty, staff, and grad students can create a project but can link outside collaborators (who can also create accounts on PURR) once projects are created.",Y,Y,Y,Y,Y,N,N
SEANOE,http://www.seanoe.org/,non-federal,179,all (data),179,0,0,0,0,0,0,0,4,2.234636872,1,0.558659218,0,0,Seanoe (SEA scieNtific Open data Edition) is a publisher of scientific data in the field of marine sciences. It is operated by Sismer within the framework of the Pôle Océan.,Y,Y,Y,Y,N,N,N
SNP (NCBI),https://www.ncbi.nlm.nih.gov/snp/,federal,997259266,all (data),0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The SNP (Single Nucleotide Polymorphism) database is a central repository for single nucleotide polymorphisms, microsatellites, and small-scale insertions and deletions. Both submitted SNPs and NCBI-produced non-redundant reference records (RefSNPs) that cluster reports of the same polymorphism from different sources are available. SNP also contains population-specific frequency and genotype data, experimental conditions, molecular context, and mapping information for both neutral polymorphisms and clinical mutations.",N,N,N,N,N,N,N
SRA (NCBI),https://www.ncbi.nlm.nih.gov/sra/,federal,4212358,all (data),"6,028",0.143102747,158,0.003750868,0,0,"1,569",0.037247546,"2,080",0.049378519,"2,530",0.060061372,866,0.020558557,"The SRA (Sequence Read Archive) contains sequencing data from the next generation sequencing platforms. SRA accepts and presents data from all current next-generation sequencing platforms including 454 (Roche), Illumina, SOLiD (Applied Biosystems), HeliScope, and Complete Genomics. Data can include sequence, quality scores, color values, and intensity graphs depending on the platform involved.",Y,N,Y,N,N,Y,N
Structure (NCBI),https://www.ncbi.nlm.nih.gov/structure/,federal,130563,all (data),44,0.033700206,0,0,0,0,0,0,9,0.006893224,0,0,12,0.009190965,"The Structure or Molecular Modeling Database (MMDB) contains experimental data from crystallographic and NMR structure determinations. The data for MMDB are obtained from the Protein Data Bank (PDB). Structure records link to bibliographic information, the sequence databases, and to the NCBI taxonomy. Cn3D, the NCBI 3D structure viewer, allows for easy interactive visualization of molecular structures from Entrez.",N,N,N,N,N,N,N
Taxonomy (NCBI),https://www.ncbi.nlm.nih.gov/taxonomy/,federal,1725148,all (data),0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The Taxonomy database contains the names and phylogenetic lineages of the more than 350,000 species that have molecular data in the NCBI databases. New taxa are added to the Taxonomy database as data are deposited for them. The taxonomy records include links to all molecular data for the organism or group as well as links to outside classification resources. The taxonomy provides the major controlled vocabulary for classifying molecular data across the Entrez system.",N,N,N,N,N,N,N
UniGene (NCBI),https://www.ncbi.nlm.nih.gov/unigene/,federal,6473284,all (data),0,0,1,1.54E-05,200,0.003089622,0,0,0,0,0,0,0,0,"UniGene is a database that provides automatically generated nonredundant sets (clusters) of transcript sequences, each cluster representing a distinct transcription locus (gene or expressed pseudogene). UniGene clusters also provide information on protein similarities, gene expression, cDNA clone reagents, and genomic location.",Y,N,Y,N,N,N,N
University of Michigan / ICPSR,http://www.icpsr.umich.edu/icpsrweb/ICPSR/,university,"10,000",data,3509,35.09,90,0.9,2,0.02,1782,17.82,35,0.35,108,1.08,44,0.44,"10,000 studies, 4.8 million variables in repo",Y,Y,Y,Y,Y,Y,Y
University of Minnesota / DRUM,http://hdl.handle.net/11299/166578,university,126,dataset,16,12.6984127,1,0.793650794,2,1.587301587,3,2.380952381,1,0.793650794,0,0,1,0.793650794,,Y,Y,N,N,Y,N,N
Washington State Data Portal,https://data.wa.gov/,state government,"1,608",data,15,0.932835821,0,0,404,25.12437811,0,0,0,0,0,0,0,0,,Y,Y,Y,Y,Y,N,N
Zenodo,https://zenodo.org/,non-federal,210771,datasets,25,0.011861214,75,0.035583643,1,0.000474449,866,0.410872464,168,0.07970736,92,0.043649269,85,0.040328129,Repository used by several journals for data desposit,Y,N,Y,N,N,Y,N
