Card Transactions - April 2024,,,,,,,
NEIGHBOURHOOD AND ASSETS,18/04/24,ARGOS LEAMINGTON I,£137.50,£27.50,£165.00,FRIDGE AND MICROWAVE FOR JUBLIEE HOUSE RESTROOM,DISCOUNT STORES
NEIGHBOURHOOD AND ASSETS,18/04/24,SUMUP   FONE GALAXY LI,£9.99,£2.00,£11.99,MOBILE PHONE COVER,MISCELLANEOUS AND SPECIALTY RETAIL STORES
NEIGHBOURHOOD AND ASSETS,19/04/24,IMO CAR WASH WARWICK (,£6.00,£0.00,£6.00,WORKS VEHICLE WASH,CAR WASHES
NEIGHBOURHOOD AND ASSETS,03/04/24,COBBLERS & KEYS LEAMIN,£91.00,£0.00,£91.00,KEY CUTS,"HAT CLEANING SHOPS, SHOE REPAIR SHOPS, SHOE SHINE"
NEIGHBOURHOOD AND ASSETS,04/04/24,LANSDOWNE HARDWARE,£1.50,£0.00,£1.50,SCREW DRIVER,MISCELLANEOUS AND SPECIALTY RETAIL STORES
NEIGHBOURHOOD AND ASSETS,04/04/24,SAFETY SIGN WAREHOUSE,£16.10,£3.22,£19.32,LIFT SAFETY SIGNS,MISCELLANEOUS PUBLISHING AND PRINTING
NEIGHBOURHOOD AND ASSETS,04/04/24,WWW.SCREWFIX.COM,£16.66,£3.33,£19.99,STENCILS,"BUILDING MATERIALS, LUMBER STORES"
NEIGHBOURHOOD AND ASSETS,09/04/24,COBBLERS & KEYS LEAMIN,£40.00,£0.00,£40.00,KEYS,"HAT CLEANING SHOPS, SHOE REPAIR SHOPS, SHOE SHINE"
NEIGHBOURHOOD AND ASSETS,09/04/24,WWW.SCREWFIX.COM,£149.92,£29.98,£179.90,KEYSAFES,"BUILDING MATERIALS, LUMBER STORES"
PEOPLE & COMMUNICATIONS,06/04/24,LINKEDIN JOB 942375514,£285.00,£57.00,£342.00,ADVERTISE JOB VACANCY,ADVERTISING SERVICES
PEOPLE & COMMUNICATIONS,15/04/24,SAINSBURYS S/MKTS,£6.66,£1.33,£7.99,USB SD CARD READER,"GROCERY STORES, SUPERMARKETS"
PEOPLE & COMMUNICATIONS,15/04/24,TOTALJOBS GROUP LTD,£219.00,£43.80,£262.80,ADVERTISE JOB VACANCY,"EMPLOYMENT AGENCIES, TEMPORARY HELP SERVICES"
PEOPLE & COMMUNICATIONS,18/04/24,"VYOND-GOANIMATE,INC.",£148.58,£0.00,£148.58,ANIMATION SOFTWARE,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE"
PEOPLE & COMMUNICATIONS,02/04/24,HOO HOOTSUITE INC,"£1,336.60",£267.32,"£1,603.92",SOCIAL MEDIA SCHEDULING PLATFORM,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
PEOPLE & COMMUNICATIONS,05/04/24,DOTMAILER,£132.42,£26.48,£158.90,NEWSLETTER EMAIL PLATFORM,DIGITAL GOODS SOFTWARE APPLICATIONS
"PLACE, ARTS AND ECONOMY",12/04/24,MUSEUMS ASCTN,£3.27,£0.65,£3.92,INDIVIDUAL MUSEUM ASSOCIATION MEMBERSHIP,ART DEALERS AND GALLERIES
"PLACE, ARTS AND ECONOMY",12/04/24,MUSEUMS ASCTN,£59.78,£0.00,£59.78,INDIVIDUAL MUSEUM ASSOCIATION MEMBERSHIP,ART DEALERS AND GALLERIES
"PLACE, ARTS AND ECONOMY",12/04/24,MUSEUMS ASCTN,£34.30,£0.00,£34.30,INDIVIDUAL MUSEUM ASSOCIATION MEMBERSHIP,ART DEALERS AND GALLERIES
"PLACE, ARTS AND ECONOMY",12/04/24,POST OFFICE COUNTER,£10.80,£0.00,£10.80,STAMPS,POSTAL SERVICES-GOVERNMENT ONLY
"PLACE, ARTS AND ECONOMY",24/04/24,ROYAL FABRICS & HABERD,£11.33,£2.27,£13.60,FABRIC AND THREAD,"FABRIC, NEEDLEWORK, PIECE GOODS, AND SEWING STORES"
"PLACE, ARTS AND ECONOMY",12/04/24,TTS,£280.93,£56.19,£337.12,"TALKING PANELS, SENSORY LIQUID MOTION TIMERS, SEQUIN BOARDS, CIRCLE MIRRORS","OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES"
"PLACE, ARTS AND ECONOMY",12/04/24,FINDEL EDUCATION,£32.35,£6.47,£38.82,"FIDGET TOY, PUSH POP TOY BOTH FOR GALLERY EXPLORER BAGS",DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-7906794-40,£10.68,£2.14,£12.82,EAR DEFENDERS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-1683544-09,£13.17,£2.63,£15.80,"FIDGET TOY, PLUSH ELEPHANT FOR GALLERY EXPLORER BAGS",MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-8167680-91,£15.82,£3.16,£18.98,MAGNETIC SHAPES,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-9623398-19,£21.30,£4.26,£25.56,HAT AND CABLE TIES,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-7906794-40,£21.36,£4.28,£25.64,EAR DEFENDERS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,AMAZON  205-7906794-40,£21.37,£4.28,£25.65,EAR DEFENDERS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",18/04/24,RYMAN 1140,£8.32,£1.66,£9.98,PLASTIC DOCUMENT WALLET,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES"
"PLACE, ARTS AND ECONOMY",20/04/24,ACORNS RETAIL,-£6.50,£0.00,-£6.50,NO VAT RECEIPT ISSUED - REFUND,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES"
"PLACE, ARTS AND ECONOMY",20/04/24,ZETTLE_ THE VINTAGE BA,£15.00,£0.00,£15.00,HATS,"ANTIQUE SHOPS-SALES,REPAIRS,RESTORATION SERVICES"
"PLACE, ARTS AND ECONOMY",20/04/24,ACORNS RETAIL,£6.50,£0.00,£6.50,PHOTO FRAME,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES"
"PLACE, ARTS AND ECONOMY",20/04/24,ZETTLE_ THE VINTAGE BA,£6.00,£0.00,£6.00,PHOTOS FOR GALLERY EXHIBITION,"ANTIQUE SHOPS-SALES,REPAIRS,RESTORATION SERVICES"
"PLACE, ARTS AND ECONOMY",23/04/24,HOMESENSE,£10.82,£2.17,£12.99,HOOKS,VARIETY STORES
"PLACE, ARTS AND ECONOMY",28/03/24,ROBERT DYAS LEAMINGTON,£9.32,£1.87,£11.19,WHITE SPIRIT FOR CLEANING FLOOD BARRIERS,HARDWARE STORES
"PLACE, ARTS AND ECONOMY",04/04/24,THE METAL STORE,£373.70,£74.74,£448.44,FRAME FOR THE KIALY EXHIBITION,HARDWARE EQUIPMENT AND SUPPLIES
"PLACE, ARTS AND ECONOMY",23/04/24,SPOTIFY LIMITED,£9.16,£1.83,£10.99,ROYAL SPA CENTRE - SPOTIFY PREMIUM,"CABLE, SATELLITE, OTHER PAY TELEVISION, RADIO SVCS"
"PLACE, ARTS AND ECONOMY",28/03/24,WWW.BREWERS.CO.UK,£334.66,£66.93,£401.59,LSAG&M REHANG 2024,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
"PLACE, ARTS AND ECONOMY",03/04/24,AMAZON  026-0187736-82,£2.91,£0.58,£3.49,EXHIBITION MATERIALS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",03/04/24,AMAZON  026-2481639-67,£4.12,£0.82,£4.94,EXHIBITION MATERIALS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",03/04/24,AMAZON  026-3103177-32,£8.32,£1.66,£9.98,EXHIBITION MATERIALS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",09/04/24,AMZNBUSINESS HE1XQ5Y04,£12.50,£2.50,£15.00,EXHIBITION MATERIALS,MISCELLANEOUS AND SPECIALTY RETAIL STORES
"PLACE, ARTS AND ECONOMY",09/04/24,AMAZON  026-7877893-58,£9.98,£2.00,£11.98,EXHIBITION MATERIALS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",17/04/24,AMAZON.CO.UK HD2KO3ZO4,£352.21,£70.44,£422.65,PROJECTOR FOR DISPLAY,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
"PLACE, ARTS AND ECONOMY",19/04/24,AMAZON  026-4646852-01,£25.05,£0.00,£25.05,CALLUM INNES CATALOGUE,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",23/04/24,AMAZON  026-2549883-81,£28.56,£5.71,£34.27,EXHIBITION MATERIALS,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",05/04/24,HSE - BSR,£336.00,£0.00,£336.00,BSR REGISTRATION,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
"PLACE, ARTS AND ECONOMY",09/04/24,LAND REGISTRY ECOM CCC,£3.00,£0.00,£3.00,LAND REGISTRY SEARCH,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
"PLACE, ARTS AND ECONOMY",30/03/24,FACEBK QXJEE2UWR2,£700.00,£0.00,£700.00,ROYAL SPA CENTRE - FACEBOOK ADVERTISING,ADVERTISING SERVICES
"PLACE, ARTS AND ECONOMY",31/03/24,FACEBK X3UR63LWR2,£23.53,£0.00,£23.53,ROYAL SPA CENTRE - FACEBOOK ADVERTISING,ADVERTISING SERVICES
"PLACE, ARTS AND ECONOMY",16/04/24,INTUIT LTD MAILCHIMP,£317.94,£0.00,£317.94,ROYAL SPA CENTRE - E MARKETING,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS
"PLACE, ARTS AND ECONOMY",02/04/24,BURSAR'S OFFICE MAIN,£20.53,£0.00,£20.53,IMAGES FOR 'LEAMINGTON SPA AND THE BLACK ATLANTIC' EXHIBITION BOOK,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES"
"PLACE, ARTS AND ECONOMY",09/04/24,SP DISTINCTION CRYSTAL,£3.33,£0.66,£3.99,MAGNIFYING DISPLAY BOXES,CRYSTAL AND GLASSWARE STORES
"PLACE, ARTS AND ECONOMY",10/04/24,NATIONAL TRUST,£168.00,£0.00,£168.00,IMAGES FOR 'LEAMINGTON SPA AND THE BLACK ATLANTIC' EXHIBITION BOOK,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
"PLACE, ARTS AND ECONOMY",16/04/24,NATIONAL TRUST,£0.00,£33.60,£33.60,VAT ON IMAGES FOR 'LEAMINGTON SPA AND THE BLACK ATLANTIC' EXHIBITION BOOK,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
"PLACE, ARTS AND ECONOMY",03/04/24,BOOKER LIMITED ECOM,£299.49,£59.90,£359.39,ROYAL SPA CENTRE - BAR SNACKS AND DRINKS,"GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",03/04/24,BOOKER LIMITED ECOM,£55.14,£0.00,£55.14,"ROYAL SPA CENTRE - MILK, ICE CUBES, DECAF COFFEE SACHETS, LEMONS AND LIMES","GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",10/04/24,BOOKER LIMITED ECOM,£218.33,£43.67,£262.00,ROYAL SPA CENTRE - BAR SNACKS AND DRINKS,"GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",10/04/24,BOOKER LIMITED ECOM,£62.61,£12.52,£75.13,ROYAL SPA CENTRE - COFFEE CUP HOLDERS,"GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",10/04/24,BOOKER LIMITED ECOM,£42.55,£0.00,£42.55,"ROYAL SPA CENTRE - MILK, TEABAGS, LEMONS AND LIMES","GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",10/04/24,AMAZON  026-4642316-67,£19.71,£3.93,£23.64,ROYAL SPA CENTRE - TILL ROLL FOR PDQ MACHINES,MISCELLANEOUS GENERAL MERCHANDISE
"PLACE, ARTS AND ECONOMY",15/04/24,IKEA LTD 142 BIRMINGHA,£98.33,£19.67,£118.00,ARTIFICIAL PLANTS AND POTS FOR PUMP ROOMS FOYER,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
"PLACE, ARTS AND ECONOMY",15/04/24,IKEA LTD 142 BIRMINGHA,£10.00,£2.00,£12.00,TABLE LAMP FOR PUMP ROOMS FOYER,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
"PLACE, ARTS AND ECONOMY",15/04/24,IKEA LTD 142 BIRMINGHA,£1.46,£0.29,£1.75,ROYAL SPA CENTRE - FORKS,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
"PLACE, ARTS AND ECONOMY",17/04/24,BOOKER LIMITED ECOM,£261.61,£52.32,£313.93,ROYAL SPA CENTRE - BAR SNACKS AND DRINKS,"GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",17/04/24,BOOKER LIMITED ECOM,£3.99,£0.00,£3.99,ROYAL SPA CENTRE - LEMONS,"GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",22/04/24,BARMANS LIMITED,£169.85,£33.96,£203.81,ROYAL SPA CENTRE - REUSABLE PINT AND HALF-PINT GLASSES,"DURABLE GOODS, NOT ELSEWHERE CLASSIFIED"
"PLACE, ARTS AND ECONOMY",24/04/24,BOOKER LIMITED ECOM,£294.82,£58.96,£353.78,ROYAL SPA CENTRE - BAR SNACKS & DRINKS,"GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",24/04/24,BOOKER LIMITED ECOM,£54.64,£0.00,£54.64,"ROYAL SPA CENTRE - MILK, TEA, INSTANT COFFEE, LEMONS AND LIMES","GROCERY STORES, SUPERMARKETS"
"PLACE, ARTS AND ECONOMY",24/04/24,WWW.FILMBANK.CO.UK,£150.00,£0.00,£150.00,ROYAL SPA CENTRE - DEPOSIT FOR FILM SCREENING LICENCE,MOTION PICTURE/VIDEO TAPE PRODUCTION/DISTRIBUTION
"PLACE, ARTS AND ECONOMY",09/04/24,PAYPAL  NICOLAFISGAR,£10.00,£0.00,£10.00,BOOKS FOR RESALE IN VIC SHOP,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",28/03/24,SHELL LEAMINGTN 62,£35.45,£7.09,£42.54,FUEL FOR WORKS VAN,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",03/04/24,SHELL 77 RUGBY ROAD,£41.01,£8.20,£49.21,FUEL FOR WORKS VAN,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",03/04/24,COMPTONS GARAGE SERVIC,£8.50,£1.70,£10.20,HEADLAMP REPLACEMENT FOR WORKS VAN,AUTOMOTIVE SERVICE SHOPS
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",03/04/24,HOMEBASE LTD 494,£15.00,£3.00,£18.00,BIN AND BAGS FOR SOUTH LODGE,HOME SUPPLY WAREHOUSE STORES
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",03/04/24,PETS AT HOME LTD,£4.74,£0.95,£5.69,DOG BISCUITS FOR DOG WARDEN AND COMMUNITY WARDENS,PET SHOPS - PET FOODS AND SUPPLIES
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",09/04/24,ROBERT DYAS LEAMINGTON,£9.16,£1.83,£10.99,HDMI CABLE FOR LAPTOP,HARDWARE STORES
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",09/04/24,ROBERT DYAS LEAMINGTON,£8.57,£1.71,£10.28,COAT HOOKS AND PICTURE HOOKS,HARDWARE STORES
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",10/04/24,TESCO STORES 2813,£12.92,£2.58,£15.50,REFRESHMENTS FOR ASB TOOLS TRAINING COURSE,"GROCERY STORES, SUPERMARKETS"
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",10/04/24,TESCO STORES 2813,£9.55,£0.00,£9.55,REFRESHMENTS FOR ASB TOOLS TRAINING COURSE,"GROCERY STORES, SUPERMARKETS"
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",12/04/24,SHELL 77 RUGBY ROAD,£61.70,£12.34,£74.04,FUEL FOR WORKS VAN,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",19/04/24,SHELL 77 RUGBY ROAD,£44.21,£8.84,£53.05,FUEL FOR WORKS VAN,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",22/04/24,ROBERT DYAS LEAMINGTON,£49.98,£10.00,£59.98,FAN HEATERS FOR SOUTH LODGE,HARDWARE STORES
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",22/04/24,HSE  ID-7602317,£13.69,£2.74,£16.43,HSE INFORMATION POSTER,BOOK STORES
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",23/04/24,AMAZON  026-4791892-12,£25.14,£5.04,£30.18,TRAUMA DRESSINGS,MISCELLANEOUS GENERAL MERCHANDISE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",23/04/24,AMAZON  026-1199684-64,£15.82,£3.16,£18.98,ANTISEPTIC WIPES,MISCELLANEOUS GENERAL MERCHANDISE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",24/04/24,AMZNBUSINESS HD2JH8YW4,£13.24,£2.66,£15.90,WOUND DRESSINGS,MISCELLANEOUS AND SPECIALTY RETAIL STORES
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",24/04/24,POST OFFICE COUNTER,£8.95,£0.00,£8.95,POSTAGE - CABLES RETURN,POSTAL SERVICES-GOVERNMENT ONLY
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",25/04/24,SHELL 77 RUGBY ROAD,£31.92,£6.39,£38.31,FUEL FOR WORKS VAN,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",02/04/24,AMAZON  204-8126960-71,£70.82,£14.17,£84.99,OFFICE CHAIR,MISCELLANEOUS GENERAL MERCHANDISE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",05/04/24,WESTMINSTER INSIGHT,£287.28,£57.46,£344.74,DHR TRAINING WORKSHOP,DIGITAL GOODS AUDIOVISUAL MEDIA
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",23/04/24,AMAZON MUSIC HD7IJ4WL4,£5.99,£0.00,£5.99,TRANSACTION IN ERROR - REPAID,RECORD SHOPS
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",25/04/24,SP EUFY UK,"£1,090.00",£218.00,"£1,308.00",VIDEO DOORBELLS (COMMUNITY SAFETY),MISCELLANEOUS GENERAL MERCHANDISE
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",09/04/24,GET LICENSED,£229.99,£0.00,£229.99,SIA TRAINING,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS"
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",10/04/24,MOL CJ WILDBIRD FOODS,£154.13,£30.83,£184.96,BIRD FEEDERS,PET SHOPS - PET FOODS AND SUPPLIES
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",24/04/24,LIDL GB LEAMINGTON,£6.29,£1.26,£7.55,SIGNAGE CLEANING PRODUCTS,"GROCERY STORES, SUPERMARKETS"
"SAFER COMMUNITIES, ENVIRONMENT & LEISURE SERVICES",24/04/24,LIDL GB LEAMINGTON,£1.50,£0.00,£1.50,FRUIT,"GROCERY STORES, SUPERMARKETS"
,,,"£23,200.52","£3,523.52","£26,724.04",,
,,,,,,,
,,,,,,,
