#,Project,Tracker,Status,Priority,Subject,Assignee,Updated
1903,Conversion Tools,Feature,New,Normal,disambiguate generated filenames that are only differentiated by a difference in case (on Windows filename.txt and filEname.txt refer to the same file),"",11/16/2016 01:16 PM
2345,User Interface,Bug,New,Normal,already visible frames will sometimes have their screen-buffer updated by changes to the same frame used in streams,"",07/25/2014 09:42 AM
2377,Database,Bug,New,Normal,default buffer can be incorrectly scoped to an internal procedure,"",08/13/2014 05:52 PM
3505,Base Language,Feature,New,Normal,implement CONNECT TO support for CREATE OBJECT,"",03/09/2018 11:25 AM
1720,Conversion Tools,Feature,New,Normal,improve conversion of Progress 4GL if/else do: if/else end.,"",11/16/2016 12:46 PM
1759,TRPL,Feature,New,Normal,design a database to back all TRPL processing,"",11/16/2016 09:59 AM
2169,User Interface,Bug,New,Normal,Scrollbars issue in combo-box and selection-list,"",09/03/2013 04:33 PM
2170,User Interface,Bug,New,Normal,Selection list does not show the vertical scrollbar,"",09/03/2013 04:34 PM
2171,User Interface,Bug,New,Normal,Focused radio-button attribute mismatch,"",09/03/2013 04:35 PM
3126,Database,Bug,New,Normal,Incorrect compound query iteration order if a backing buffer is updated.,"",06/09/2016 09:11 AM
2474,User Interface,Feature,New,Normal,dynamically execute applhelp.p instead of driving it from a static directory entry,"",03/23/2016 04:39 PM
1784,User Interface,Feature,New,Normal,support the runtime assignment of a browse title (from an expression instead of a literal),"",03/23/2016 04:55 PM
1718,Conversion Tools,Feature,New,Normal,"move ControlFlowOps.setReturnValue("""") from business logic into runtime (TransactionManager)","",11/16/2016 12:46 PM
2035,Database,Feature,New,Normal,optimize conversion of CAN-FIND([FIRST|LAST] temp-table-record ... {SHARE-LOCK|EXCLUSIVE-LOCK}),"",11/16/2016 01:16 PM
1704,Bugs,Bug,New,Normal,legacy DB name mapping,"",10/29/2012 08:43 AM
4418,Database,Feature,New,Normal,improve/fix temp-table naming approach,"",11/19/2019 09:19 AM
1817,User Interface,Feature,New,Normal,implement a spin-button widget to replace the CSSpin OCX,"",03/23/2016 12:53 PM
2172,User Interface,Bug,New,Normal,Editor widget vertical scrollbar issue,"",09/03/2013 04:36 PM
1705,Bugs,Bug,New,Normal,DMO index cleanup,"",10/29/2012 08:44 AM
1816,User Interface,Feature,New,Normal,implement a combo-box widget to replace the CSComboBox OCX,"",03/23/2016 12:53 PM
1819,User Interface,Feature,New,Normal,implement a progress indicator widget to replace the ProgressBar OCX,"",03/23/2016 12:54 PM
1822,User Interface,Feature,New,Normal,implement a calendar widget to replace the Calendar OCX,"",03/23/2016 12:55 PM
2568,Database,Bug,New,Normal,Possibly wrong default column label value,"",05/02/2015 12:42 AM
2576,User Interface,Bug,New,Normal,Cursor position in numeric fields (ChUI),"",05/17/2015 11:34 AM
2381,User Interface,Feature,New,Normal,implement PUT-KEY-VALUE COLOR (n | ALL),"",03/23/2016 04:42 PM
2579,User Interface,Bug,New,Normal,Cursor offset is reset after a trigger containing MESSAGE ... UPDATE,"",05/21/2015 04:18 AM
2682,User Interface,Bug,New,Normal,Swing GUI client does not honor icon in the OS level task bar,"",09/04/2015 10:43 AM
3040,Database,Bug,New,Normal,CAN-FIND issues,"",03/25/2016 01:09 PM
1810,Conversion Tools,Feature,New,Normal,expand use of varargs in the runtime,"",11/16/2016 12:46 PM
2904,User Interface,Bug,New,Normal,./frame-z-order/zw1.p  - incorrect focus owner,"",12/03/2015 10:34 AM
1722,Conversion Tools,Feature,New,Normal,remove format string constants that are not referenced in the business logic,"",11/16/2016 12:46 PM
3506,Base Language,Feature,New,Normal,implement array support for COM automation methods and properties,"",03/09/2018 11:28 AM
2185,User Interface,Feature,New,Normal,ROW attribute error handling is incomplete,"",09/24/2013 02:10 PM
1723,Conversion Tools,Feature,New,Normal,"remove unnecessary curly braces associated with not being an ""integrated_simple_do"" in control_flow.rules","",11/16/2016 12:46 PM
2203,Database,Feature,New,Normal,replace or minimize use of dmo_index.xml file,"",11/20/2013 11:03 AM
2179,User Interface,Bug,New,Normal,Focus issues in combo-box,"",09/09/2013 04:52 PM
2193,User Interface,Bug,New,Normal,message with view-as alert-box visual errors when using special characters ,"",10/16/2013 11:59 AM
2384,User Interface,Feature,New,Normal, implement custom color overrides for ChUI,"",09/03/2014 12:07 PM
1860,Runtime Infrastructure,Support,New,Normal,"update the configuration portions of the Runtime Installation, Configuraton and Administration Guide","",11/16/2016 01:31 PM
2202,Bugs,Bug,New,Normal,ContextLocal should disallow calls which operate on its data during cleanup(),"",11/12/2013 05:21 PM
2419,Base Language,Bug,New,Normal,Type mismatch error in the converted code when integer literal passed to decimal parameter ,"",10/12/2014 05:17 PM
2382,Database,Bug,New,Normal,Improve format string error handling in ADD-NEW-FIELD implementation,"",10/11/2014 03:15 PM
2417,Database,Bug,New,Normal,DatabaseManager reports severe error when registering a database more than once,"",10/08/2014 02:27 PM
2432,User Interface,Bug,New,Normal,investigate and fix collisions related to event/key codes reported by KEY-CODE and LAST-EVENT,"",10/31/2014 05:31 AM
2582,User Interface,Bug,New,Normal,Some key labels are not supported by p2j,"",03/23/2016 05:17 PM
2188,Base Language,Bug,New,Normal,fix runtime for SCREEN-VALUE attribute,"",11/16/2016 12:23 PM
1825,Conversion Tools,Feature,New,Normal,"make common format strings into static, final variables in a shared class","",11/16/2016 12:46 PM
1828,Conversion Tools,Feature,New,Normal,"move header ""widgets"" that represent constants into the frame definition","",11/16/2016 12:47 PM
2192,User Interface,Bug,New,Normal,built-in functions without parameters are displayed only once,"",11/16/2016 01:21 PM
2979,User Interface,Bug,New,Normal,The drop-down selection list for the combo-box is not properly aligned in the WebGUI,"",02/04/2016 08:19 AM
3692,User Interface,Bug,New,Normal,invalid handle in tree view,"",08/21/2018 11:05 AM
2383,Database,Support,New,Normal,write an SQL script to verify all UDFs for built-in functions work once p2jpl.jar is installed in a database,"",08/30/2014 11:16 PM
2224,Bugs,Bug,New,Normal,StackOverflowError on start server in runtime when logging level is set to FINEST,"",01/09/2014 03:30 PM
2194,Base Language,Feature,New,Normal,Creating testcases to check legacy attributes for resources used in CAN-QUERY/CAN-SET statement converion code,"",10/15/2013 09:53 PM
2387,Database,Bug,New,Normal,improve compatibility of NO-UNDO temp-tables,"",09/12/2014 04:08 PM
1829,User Interface,Feature,New,Normal,implement conversion support to migrate Windows help files to the proper format for the converted system,"",03/23/2016 12:55 PM
8511,Conversion Tools,Bug,New,Normal,replace string annotation with numeric annotations,"",03/24/2024 08:47 AM
2199,Database,Bug,New,Normal,ambiguity warnings too aggressively disabled,"",11/27/2013 11:25 AM
2418,User Interface,Bug,New,Normal,frame construction issue,"",10/09/2014 11:54 AM
1726,Conversion Tools,Feature,New,Normal,"reset the counter for ""condition"" and ""editingLabel"" in <init-rules> for annotations rule sets","",11/16/2016 12:46 PM
2413,Database,Bug,New,Normal,"Invalid multi-table conversion (Compound(Preselect, Adaptive) instead of Preselect)","",10/06/2014 07:25 AM
2429,Base Language,Bug,New,Normal,fix null character handling,"",10/27/2014 02:17 PM
2527,Base Language,Bug,New,Normal,after ENDKEY (F4) the server-side screen buffer needs to be updated,"",11/16/2016 12:23 PM
2178,Database,Bug,New,Normal,Asymmetric sequence behavior,"",09/06/2013 12:23 PM
2182,Base Language,Bug,New,Normal,"HANDLE attribute doesn't convert properly in ""h:handle:<attr/method>"" cases","",09/17/2013 07:33 AM
1835,Conversion Tools,Feature,New,Normal,replace common setup code for super-procedures with hand-written Java code,"",11/16/2016 12:46 PM
2753,User Interface,Bug,New,Normal,window scrollbars unexpectedly appear during window resize,"",11/16/2016 12:23 PM
2490,User Interface,Feature,New,Normal,fix movement of widgets part of a down frame's body,"",01/15/2015 01:40 PM
2395,Database,Bug,New,Normal,db admin rights requirement for the system table query,"",09/19/2014 10:30 AM
3041,Database,Bug,New,Normal,ambiguous field references are allowed in a CAN-FIND,"",03/25/2016 01:09 PM
2573,User Interface,Feature,New,Normal,"GUI implementation for the ""n COLUMNS"" frame option","",03/23/2016 01:59 PM
2511,Base Language,Bug,New,Normal,timestamp instance oddity when assigning to a datetime,"",11/16/2016 12:23 PM
1837,Conversion Tools,Feature,New,Normal,"put common adm, adm2 and appbuilder scaffolding in a base class","",11/16/2016 12:46 PM
1838,Conversion Tools,Feature,New,Normal,extract symbolic constants from preprocessor expansions where possible,"",11/16/2016 12:46 PM
1839,Conversion Tools,Feature,New,Normal,add support for the customization of file names (external procedure),"",11/16/2016 12:46 PM
2453,Conversion Tools,Support,New,Normal,remove unnecessary scope promotion,"",11/16/2016 12:46 PM
1840,Database,Feature,New,Normal,create a simple tool (and docs) to provide creation/import of databases at client sites,"",11/16/2016 01:08 PM
2754,User Interface,Bug,New,Normal,dynamic widget attribute assignment breaks when the FRAME attribute is assigned late,"",11/16/2016 12:23 PM
2525,User Interface,Feature,New,Normal,Runtime support of frame positional attributes,"",03/23/2016 02:52 PM
1895,Runtime Infrastructure,Feature,New,Normal,improve/automate PLJava registration,"",11/16/2016 01:08 PM
1916,Runtime Infrastructure,Feature,New,Normal,improve the runtime statistics gathered by P2J,"",04/19/2016 05:42 AM
2496,Database,Bug,New,Normal,Static conversion of legacy field names does not preserve original case,"",01/22/2015 03:38 PM
2448,Database,Bug,New,Normal, DynamicQueryHelper.parse accepts predicate with garbage after terminating dot,"",11/21/2014 04:53 PM
2230,Bugs,Bug,New,Normal,delete event with null entity during rollback processing,"",01/22/2014 12:02 PM
2526,Database,Bug,New,Normal,Records preserving its position in the sorting index for adaptive query,"",11/16/2016 12:23 PM
2191,User Interface,Feature,New,Normal,complete support for determining resource type for BROWSE columns,"",10/04/2013 07:14 AM
2427,User Interface,Bug,New,Normal,do not allow ALT+space to show the popup menu for the OS window,"",03/23/2016 01:58 PM
2378,User Interface,Feature,New,Normal,implements dos-hex-attribute of COLOR phrase,"",03/23/2016 04:40 PM
2506,Runtime Infrastructure,Feature,New,Normal,provide support for substitution variables which can be inserted in PROPATH entries in the directory and which will be expanded at load/runtime to system-specific locations,"",11/16/2016 01:08 PM
2502,Conversion Tools,Feature,New,Normal,using a file list as input for the ConversionDriver fails if there is trailing space,"",11/16/2016 01:16 PM
2505,Base Language,Feature,New,Normal,SEARCH and loading of static resources from the server-side application jar,"",11/16/2016 01:21 PM
2703,User Interface,Bug,New,Normal,VIEW of a dynamic widget abends,"",11/16/2016 12:23 PM
1679,Conversion Tools,Feature,New,Normal,remove concatenation of empty strings,"",11/16/2016 12:46 PM
3065,Database,Bug,New,Normal,runtime conversion datatype checks,"",04/14/2016 04:56 AM
9812,User Interface,Support,New,Normal,browser resolution,"",03/20/2025 04:58 AM
3068,User Interface,Bug,New,Normal,Some widgets draw focused visuals even when window looses focus,"",04/18/2016 12:45 PM
2519,User Interface,Bug,New,Normal,suspicious  looking scrolling code,"",02/20/2015 01:39 PM
2518,User Interface,Bug,New,Normal,NPE on exit from testcase with mixed usage of static and dynamic widgets,"",02/20/2015 01:40 PM
2405,Database,Bug,New,Normal,CompoundQuery.previous() invalid behavior after back off-end ,"",10/03/2014 11:26 AM
2654,User Interface,Bug,New,Normal,Making a widget VISIBLE displays the parent frame,"",08/19/2015 04:51 PM
2319,Database,Feature,New,Normal,support for dialect-specific keywords in NameConverter,"",03/30/2016 05:20 AM
2664,User Interface,Bug,New,Normal,vim doesn't work as an interactive child process in either Swing ChUI or the web ChUI client,"",08/28/2015 02:55 PM
2396,User Interface,Bug,New,Normal,memory leak when using shared frames,"",11/16/2016 12:30 PM
2541,Database,Feature,New,Normal,replace the JDBC metadata calls at server startup with DMO annotations,"",11/16/2016 01:16 PM
1729,Conversion Tools,Feature,New,Normal,implement better default naming rules,"",05/13/2022 10:36 AM
3143,User Interface,Bug,New,Normal,An infinite loop while closing a dialog,"",07/07/2016 08:45 AM
2665,User Interface,Bug,New,Normal,vim only partially works as an interactive child process in the NCURSES client,"",08/28/2015 02:57 PM
2589,Database,Bug,New,Normal,remote request for next primary key gives wrong result when metadata DB is running,"",06/17/2015 06:39 PM
2627,User Interface,Feature,New,Normal,Implement quirky cases of refresh when REFRESHABLE is turned ON,"",07/30/2015 08:33 AM
2658,Base Language,Bug,New,Normal,MESSAGE statement expressions that evaluate to a HANDLE are improperly processed,"",08/24/2015 03:39 PM
2556,User Interface,Feature,New,Normal,add support for COLOR statement in GUI,"",03/23/2016 04:29 PM
1731,Conversion Tools,Feature,New,Normal,reuse frame elements within business logic,"",11/16/2016 12:47 PM
1732,Conversion Tools,Feature,New,Normal,refactor common frame element arrays,"",11/16/2016 12:47 PM
2307,User Interface,Feature,New,Normal,enable skinning of the web client login page,"",08/31/2015 03:08 PM
2667,User Interface,Feature,New,Normal,login page title improvements,"",08/31/2015 03:24 PM
2594,Runtime Infrastructure,Feature,New,Normal,Implement a tracing facility for P2J,"",11/16/2016 01:08 PM
1558,Harness,Feature,New,Normal,fixup the preformatted detailed reports sections to add line breaking for content that is over a certain width,"",09/18/2012 06:27 PM
2741,User Interface,Bug,New,Normal,SELECTION-LIST sizing issues,"",11/16/2016 12:23 PM
2666,User Interface,Feature,New,Normal,web client login page improvements,"",03/31/2016 12:47 PM
2915,User Interface,Bug,New,Normal,A modal window in Swing GUI client should not be on top of all other OS windows,"",04/20/2016 10:16 AM
2554,Database,Bug,New,Normal,Temp-tables with different labels / column labels are converted to the same TempRecord class.,"",04/22/2015 01:44 PM
2548,Database,Bug,New,Normal,buffer/tables names are too aggressively matched in preference to other names,"",04/10/2015 05:53 AM
2637,Base Language,Bug,New,Normal,batch client needs to detect if the client process has output redirected and change error handling,"",02/04/2016 07:50 AM
3043,User Interface,Bug,New,Normal,Create ChUI dialog for the Progress stack trace,"",03/30/2016 07:42 AM
1683,Conversion Tools,Feature,New,Normal,"rewrite unreachable processing to run in a loop (and/or using ascent rules) to detect and ""rollup"" dead code","",11/16/2016 12:46 PM
2640,User Interface,Bug,New,Normal,NPE in registerPersistentTrigger,"",08/17/2015 09:34 AM
3144,Database,Bug,New,Normal,Provide correct legacy name for a RecordBuffer/TemporaryBuffer,"",07/12/2016 04:01 PM
2659,Base Language,Bug,New,Normal,memptr in internal procedure address duplication,"",08/24/2015 04:48 PM
2668,User Interface,Feature,New,Normal,"if there are multiple spawn hosts, allow the user to select the host being logged into","",08/31/2015 03:27 PM
2669,User Interface,Feature,New,Normal,tabbing flow improvements,"",08/31/2015 03:29 PM
1434,Core Development,Feature,New,Normal,Conversion reference documentation and training slides,"",08/21/2012 03:49 PM
2246,Harness,Feature,New,Normal,each failure listed in the summary table should hyperlink directly to the test detail page AND all the way to the failing step in that page so that reviewing failures is quick,"",02/19/2014 12:41 PM
9876,User Interface,Bug,New,Normal,FILL-IN: date format with long year format component: incorrect INPUT-VALUE,"",04/05/2025 06:42 PM
2635,User Interface,Feature,New,Normal,multi-window focus management,"",11/16/2016 12:23 PM
2629,User Interface,Bug,New,Normal,deviations in handle with unknown value error processing and messages,"",07/30/2015 09:52 AM
2586,User Interface,Bug,New,Normal,FillInWidget.getScreenValue() incorretly returns blank,"",03/23/2016 05:16 PM
2641,User Interface,Bug,New,Normal,ENABLE ALL should be able to display an empty frame,"",08/17/2015 10:18 AM
3008,User Interface,Bug,New,Normal,Window in Swing GUI cannot be moved outside of screen bounds,"",02/29/2016 02:42 PM
3044,Database,Feature,New,Normal,dynamic validation expression support,"",02/07/2019 02:36 PM
1435,Core Development,Feature,New,Normal,TEXT group option of ENABLE statement conversion/runtime malfunction,"",04/13/2012 08:01 PM
1436,Bugs,Bug,New,Normal,APPEND option conversion,"",04/15/2012 02:17 PM
2937,Database,Bug,New,Normal,improved sequence support in H2,"",04/12/2016 09:00 AM
30,Runtime Infrastructure,Bug,New,Normal,detect denial of service attempt and try to reduce the impact,"",10/31/2012 11:56 AM
2981,Runtime Infrastructure,Bug,New,Normal,replace SecurityManager.checkCaller() usage with a more performant approach,"",02/04/2016 10:56 AM
2464,Conversion Tools,Support,New,Normal,"remove business logic var defs, format strings and undoable registrations for vars that only exist to defined @-base field widgets but are otherwise unreferenced as real variables","",12/21/2014 10:19 AM
2,Harness,Feature,New,Normal,add hyperlink to the exact failed step details for each test failure in the test plan and test set index.html documents,"",04/03/2012 02:57 PM
3,Bugs,Bug,New,Normal,F4 in 2nd interaction causes cursor to be positioned outside a valid input field,"",04/04/2012 05:06 PM
4,Bugs,Bug,New,Normal,IdentityPool usage out of session context,"",05/31/2010 12:00 PM
2747,User Interface,Bug,New,Normal,implement font table editing,"",10/08/2015 03:59 PM
2602,Database,Bug,New,Normal,A record returned twice because of RELEASE,"",06/30/2015 04:39 PM
8,Bugs,Bug,New,Normal,misconversion of single-table REPEAT/DO for FIRST/LAST/UNIQUE,"",10/03/2011 12:00 PM
9,Bugs,Bug,New,Normal,invalid sorting for FOR/REPEAT/DO with FIRST/LAST BREAK BY,"",10/03/2011 12:00 PM
10,Bugs,Bug,New,Normal,CAN-FIND conversion issue (if WHERE clause evaluated to TRUE),"",10/03/2011 12:00 PM
11,Bugs,Bug,New,Normal,double field reference emitting problem report,"",10/03/2011 12:00 PM
1948,Build and Source Control,Support,New,Normal,cleanup package.html contents,"",11/16/2016 01:31 PM
2661,User Interface,Support,New,Normal,evaluate use of NCURSES 6.0 on Windows which now has a MinGW port,"",11/16/2016 01:08 PM
2785,User Interface,Bug,New,Normal,./menu/popup_ext.p doesn't display menu for the web client and doesn't open for the swing client,"",10/23/2015 02:22 PM
1688,Conversion Tools,Feature,New,Normal,move LEAVE/NEXT rewriting from annotations into fixups,"",11/16/2016 12:46 PM
13,Bugs,Bug,New,Normal,ambiguous field name in CAN-FIND() - Progress quirk,"",12/06/2011 12:00 PM
19,Bugs,Bug,New,Normal,conversion CASE to SWITCH,"",03/26/2012 12:00 PM
20,Bugs,Bug,New,Normal,NO-ERROR does not work for FIND statement on preselected results,"",09/24/2011 12:00 PM
21,Core Development,Feature,New,Normal,add new preprocessor options,"",12/02/2004 12:00 PM
1557,Harness,Feature,New,Normal,enhance reporting with additional statistics (provide more than just counters),"",09/18/2012 06:26 PM
23,Core Development,Feature,New,Normal,implement preprocessor activity logging,"",12/02/2004 12:00 PM
24,Core Development,Feature,New,Normal,implement preprocessor variations generation,"",12/02/2004 12:00 PM
25,Core Development,Feature,New,Normal,make line and column tracking accurate in preprocessor,"",12/02/2004 12:00 PM
26,Core Development,Feature,New,Normal,"add support for preprocessor ""features""","",12/02/2004 12:00 PM
1743,Conversion Tools,Feature,New,Normal,create conversion rules to generate utility classes with common include code,"",11/16/2016 12:47 PM
1857,Runtime Infrastructure,Support,New,Normal,"update the implementation planning portions of the Runtime Installation, Configuraton and Administration Guide","",11/16/2016 01:31 PM
1905,Conversion Tools,Feature,New,Normal,why does P2J_HOME have to be explicitly set for running the conversion on Windows and not in Linux? fix this,"",11/16/2016 01:16 PM
